Troqueles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Una fila por troquel. Los campos geométricos alimentan etiquetas por repetición, desarrollo y validación de planchas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,Descripción,Clasificación,Forma,Código cliente,Código preprensa,Código proveedor,Ancho mm,Largo mm,Desarrollo cm,DESARROLLO TOTAL,Elongación %,Elongado,Ancho total troquel in,Largo total troquel in,Ancho etiqueta in,Largo etiqueta in,Ancho material in,Área etiqueta in²,Área troquel in²,Estructura,Formato,GAP AROUND,GAP AROUND,Montaje,Proveedor,Tensión,Tipo troquel,Uso convencional,Uso digital,Filas,DIENTES,Repeticiones,Estado,Activo,Observaciones
C0001-BW,Etiqueta rectangular 50 x 80,etiqueta,circulo,CLI-01,PRE-01,PROV-01,"29,8","29,8","33,02",13,,,"7,8",13,"1,1732","1,1732",13,"1,38","101,40",2 x 3,rollo,"0,125","1,250",2 filas x 3 rep.,KOCHER,media,flexo,Sí,No,6,104,10,Bueno,Sí,
C0002-BW,,Etiqueta,circulo,,,,73,73,"30,48",12,,,9,12,"2,8740","2,874",,"8,26","108,00",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,3,96,4,Bueno,Sí,
E0002-SG,,,elipse,,,,85,68,"35,56",14,,,"6,94",14,"3,3465","2,6772",,"8,96","97,16",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,2,112,5,Bueno,Sí,
R0004-SG,,,rectangulo,,,,"31,8",96,#ERROR!,"15,75",,,"6,88","15,75","1,2520","3,7795",,"4,73","108,36",,rollo,"0,156","1,563",,KOCHER,,flexo,Sí,No,5,126,4,Bueno,Sí,
R0005-SG,,,rectangulo,,,,"31,8","74,6","31,115","12,25",,,"6,88","12,25","1,2520","2,9370",,"3,68","84,28",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,5,98,4,Bueno,Sí,
R0008-SG,,,rectangulo,,,,"63,5","149,2","30,48",12,,,"7,88",12,"2,5000","5,8740",,"14,69","94,56",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,3,96,2,Bueno,Sí,
R0021-SG,,,rectangulo,,,,"25,4","74,6","31,115","12,25",,,"6,75","12,25","1,2000","2,9370",,"2,94","82,69",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,6,98,4,Bueno,Sí,
R0024-SG,,,rectangulo,,,,"65,4","65,4","34,29","13,5",,,"10,8","13,5","2,5748","2,5748",,"6,63","145,80",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,4,108,5,Bueno,Sí,
R0026-SG,,,rectangulo,,,,87,75,"40,005","15,75",,,"14,2","15,75","3,4252","2,9528",,"10,11","223,65",,rollo,"0,197","1,972",,KOCHER,,flexo,Sí,No,4,126,5,Bueno,Sí,
R0027-SG,,,rectangulo,,,,84,65,"34,29","13,5",,,"10,3","13,5","3,3071","2,5591",,"8,46","139,05",,rollo,"0,141","1,409",,KOCHER,,flexo,Sí,No,3,108,5,Bueno,Sí,
