Marca,Modelo,Proceso,Subproceso,Nombre de la máquina,Unidad de trabajo,Tiempo de preparación general (sin estaciones),Tiempo por estación,Tiempo adicional de preparación,Factor de proceso por área,Variables que afectan el tiempo,Tipo de consumo,Velocidad de producción,Costo Hora Maquina,Costo por hora del operador,Formula Calculo Tiempo,Fórmula Calculo Costo
Mark Andy,Performance Series P7,Impresión,Preparación,P7,trabajo,30,8,,,Número de estaciones,Merma,,50000,12000,Tiempo = preparación general + (estaciones × tiempo por estación) + tiempos adicionales,Tiempo × (costo máquina + costo operador)
Mark Andy,Performance Series P7,Impresión,Producción,P7,Pulgadas,,,,,Cantidad,Tinta,150,50000,12000,Tiempo = cantidad / velocidad,Tiempo × (costo máquina + costo operador)
Mark Andy,Performance Series P7,Barniz,Aplicación de barniz,P7,Pulgadas,,,5,,Tipo de barniz,Barniz,150,,,Se suma al tiempo de preparación,Consumo
Mark Andy,Performance Series P7,Laminado,Laminado,P7,Pulgadas,,,10,,Tipo de film,Film,150,,,Se suma al tiempo de preparación,Consumo
Mark Andy,Performance Series P7,Troquelado,Corte,P7,Pulgadas,,,8,,Tipo de troquel,,150,,,Se suma al tiempo de preparación,Costo de troquel
Mark Andy,Performance Series P7,Foil,Estampado,P7,Pulgadas,,,10,,Tipo de foil,Foil,150,,,Se suma al tiempo de preparación,Consumo
Mark Andy,Performance Series P9,Impresión,Preparación,P9,trabajo,35,7,,,Número de estaciones,Merma,,65000,15000,Tiempo = preparación general + (estaciones × tiempo por estación) + tiempos adicionales,Tiempo × (costo máquina + costo operador)
Mark Andy,Performance Series P9,Impresión,Producción,P9,Pulgadas,,,,,Cantidad,Tinta,180,65000,15000,Tiempo = cantidad / velocidad,Tiempo × (costo máquina + costo operador)
Mark Andy,Performance Series P9,Barniz,Aplicación de barniz,P9,Pulgadas,,,5,,Tipo de barniz,Barniz,180,,,Se suma al tiempo de preparación,Consumo
Mark Andy,Performance Series P9,Laminado,Laminado,P9,Pulgadas,,,10,,Tipo de film,Film,180,,,Se suma al tiempo de preparación,Consumo
Mark Andy,Performance Series P9,Troquelado,Corte,P9,Pulgadas,,,8,,Tipo de troquel,,180,,,Se suma al tiempo de preparación,Costo de troquel
Mark Andy,Performance Series P9,Foil,Estampado,P9,Pulgadas,,,10,,Tipo de foil,Foil,180,,,Se suma al tiempo de preparación,Consumo
Nilpeter,FA-17,Impresión,Preparación,FA-17,trabajo,30,9,,,Número de estaciones,Merma,,52000,12000,Tiempo = preparación general + (estaciones × tiempo por estación) + tiempos adicionales,Tiempo × (costo máquina + costo operador)
Nilpeter,FA-17,Impresión,Producción,FA-17,Pulgadas,,,,,Cantidad,Tinta,160,52000,12000,Tiempo = cantidad / velocidad,Tiempo × (costo máquina + costo operador)
Nilpeter,FA-17,Barniz,Aplicación de barniz,FA-17,Pulgadas,,,5,,Tipo,Barniz,160,,,Se suma al tiempo de preparación,Consumo
Nilpeter,FA-17,Laminado,Laminado,FA-17,Pulgadas,,,10,,Tipo,Film,160,,,Se suma al tiempo de preparación,Consumo
Nilpeter,FA-17,Troquelado,Corte,FA-17,Pulgadas,,,8,,Tipo de troquel,,160,,,Se suma al tiempo de preparación,Costo de troquel
Esko,CDI Crystal,Planchas,Grabado láser,CDI Crystal,plancha,10,,,8,"Área, resolución",Energía,,45000,12000,Tiempo = preparación general + (área × factor),Tiempo × (costo máquina + costo operador)
Esko,XPS Crystal,Planchas,Exposición UV,XPS Crystal,plancha,5,,,6,"Área, espesor",Energía,,40000,10000,Tiempo = preparación general + (área × factor),Tiempo × (costo máquina + costo operador)
DuPont,Cyrel FAST,Planchas,Revelado térmico,Cyrel FAST,plancha,5,,,7,"Área, espesor",Material térmico,,42000,10000,Tiempo = preparación general + (área × factor),Tiempo × (costo máquina + costo operador)
DuPont,Cyrel FAST,Planchas,Secado,Cyrel FAST,plancha,10,,,,Espesor,Energía,,30000,8000,Tiempo fijo por lote,Tiempo × (costo máquina + costo operador)
HP,Indigo 8000,Impresión digital,Preparación,Indigo 8000,trabajo,20,,,,Material,Merma,,70000,15000,Tiempo fijo,Tiempo × (costo máquina + costo operador)
HP,Indigo 8000,Impresión digital,Producción,Indigo 8000,Pulgadas,,,,,Cantidad,Tinta,80,70000,15000,Tiempo = cantidad / velocidad,Tiempo × (costo máquina + costo operador)
ABG,Omega,Rebobinado,Rebobinado,Omega,Pulgadas,10,,,,Configuración,,200,30000,8000,Tiempo = cantidad / velocidad,Tiempo × (costo máquina + costo operador)
Manual,,Empaque,Empaque final,Manual,rollos,,,,,Cantidad,,20 rollos/min,,6000,Tiempo = cantidad / velocidad,Tiempo × costo operador
